TRADE_DATE,Argentina
20071201,0.63
20071202,0.549
20071203,0.55
20071204,0.584
20071205,0.711
20071206,0.787
20071207,0.866
20071208,0.937
20071209,0.933
20071210,0.936
20071211,0.954
20071212,1.036
20071213,1.088
20071214,1.134
20071215,1.192
20071216,1.193
20071217,1.198
20071218,1.21
20071219,1.266
20071220,1.311
20071221,1.364
20071222,1.416
20071223,1.425
20071224,1.439
20071225,1.459
20071226,1.532
20071227,1.603
20071228,1.669
20071229,1.734
20071230,1.741
20071231,1.729
20080101,1.726
20080102,1.759
20080103,1.78
20080104,1.785
20080105,1.792
20080106,1.746
20080107,1.697
20080108,1.67
20080109,1.678
20080110,1.676
20080111,1.666
20080112,1.662
20080113,1.661
20080114,1.616
20080115,1.596
20080116,1.58
20080117,1.568
20080118,1.57
20080119,1.576
20080120,1.548
20080121,1.519
20080122,1.507
20080123,1.497
20080124,1.488
20080125,1.47
20080126,1.449
20080127,1.412
20080128,1.37
20080129,1.359
20080130,1.353
20080131,1.347
20080201,1.334
20080202,1.32
20080203,1.307
20080204,1.282
20080205,1.29
20080206,1.319
20080207,1.343
20080208,1.355
20080209,1.384
20080210,1.387
20080211,1.381
20080212,1.38
20080213,1.425
20080214,1.46
20080215,1.502
20080216,1.536
20080217,1.528
20080218,1.502
20080219,1.499
20080220,1.508
20080221,1.526
20080222,1.557
20080223,1.581
20080224,1.578
20080225,1.565
20080226,1.587
20080227,1.614
20080228,1.638
20080229,1.681
20080301,1.724
20080302,1.741
20080303,1.758
20080304,1.775
20080305,1.822
20080306,1.871
20080307,1.927
20080308,1.99
20080309,2.033
20080310,2.042
20080311,2.069
20080312,2.12
20080313,2.168
20080314,2.215
20080315,2.269
20080316,2.297
20080317,2.303
20080318,2.332
20080319,2.403
20080320,2.471
20080321,2.526
20080322,2.584
20080323,2.605
20080324,2.619
20080325,2.646
20080326,2.697
20080327,2.733
20080328,2.793
20080329,2.849
20080330,2.86
20080331,2.867
20080401,2.895
20080402,2.929
20080403,2.969
20080404,2.988
20080405,2.995
20080406,2.957
20080407,2.907
20080408,2.871
20080409,2.863
20080410,2.857
20080411,2.84
20080412,2.819
20080413,2.764
20080414,2.699
20080415,2.656
20080416,2.664
20080417,2.663
20080418,2.64
20080419,2.614
20080420,2.593
20080421,2.529
20080422,2.489
20080423,2.475
20080424,2.462
20080425,2.437
20080426,2.422
20080427,2.359
20080428,2.291
20080429,2.252
20080430,2.214
20080501,2.162
20080502,2.103
20080503,2.062
20080504,2.021
20080505,1.989
20080506,1.981
20080507,1.982
20080508,1.978
20080509,1.972
20080510,1.957
20080511,1.929
20080512,1.904
20080513,1.9
20080514,1.909
20080515,1.903
20080516,1.872
20080517,1.843
20080518,1.811
20080519,1.778
20080520,1.747
20080521,1.768
20080522,1.783
20080523,1.784
20080524,1.784
20080525,1.786
20080526,1.757
20080527,1.757
20080528,1.773
20080529,1.783
20080530,1.792
20080531,1.811
20080601,1.834
20080602,1.81
20080603,1.795
20080604,1.777
20080605,1.759
20080606,1.74
20080607,1.724
20080608,1.702
20080609,1.679
20080610,1.668
20080611,1.655
20080612,1.641
20080613,1.622
20080614,1.615
20080615,1.604
20080616,1.595
20080617,1.592
20080618,1.596
20080619,1.601
20080620,1.588
20080621,1.58
20080622,1.565
20080623,1.543
20080624,1.522
20080625,1.52
20080626,1.517
20080627,1.508
20080628,1.502
20080629,1.497
20080630,1.49
20080701,1.484
20080702,1.509
20080703,1.534
20080704,1.563
20080705,1.595
20080706,1.623
20080707,1.658
20080708,1.701
20080709,1.761
20080710,1.814
20080711,1.871
20080712,1.933
20080713,1.988
20080714,2.04
20080715,2.1
20080716,2.164
20080717,2.227
20080718,2.284
20080719,2.33
20080720,2.373
20080721,2.414
20080722,2.459
20080723,2.526
20080724,2.586
20080725,2.644
20080726,2.695
20080727,2.737
20080728,2.778
20080729,2.823
20080730,2.87
20080731,2.918
20080801,2.956
20080802,2.982
20080803,2.985
20080804,2.985
20080805,2.988
20080806,2.974
20080807,2.948
20080808,2.906
20080809,2.867
20080810,2.823
20080811,2.771
20080812,2.73
20080813,2.689
20080814,2.643
20080815,2.589
20080816,2.532
20080817,2.462
20080818,2.4
20080819,2.342
20080820,2.281
20080821,2.221
20080822,2.147
20080823,2.078
20080824,2.005
20080825,1.933
20080826,1.869
20080827,1.803
20080828,1.733
20080829,1.656
20080830,1.587
20080831,1.524
20080901,1.471
20080902,1.448
20080903,1.428
20080904,1.408
20080905,1.401
20080906,1.398
20080907,1.397
20080908,1.401
20080909,1.413
20080910,1.418
20080911,1.418
20080912,1.417
20080913,1.417
20080914,1.408
20080915,1.402
20080916,1.421
20080917,1.438
20080918,1.455
20080919,1.479
20080920,1.503
20080921,1.526
20080922,1.538
20080923,1.563
20080924,1.591
20080925,1.618
20080926,1.656
20080927,1.695
20080928,1.742
20080929,1.77
20080930,1.787
20081001,1.803
20081002,1.811
20081003,1.825
20081004,1.835
20081005,1.835
20081006,1.839
20081007,1.85
20081008,1.857
20081009,1.861
20081010,1.87
20081011,1.882
20081012,1.893
20081013,1.887
20081014,1.897
20081015,1.909
20081016,1.913
20081017,1.916
20081018,1.919
20081019,1.915
20081020,1.906
20081021,1.899
20081022,1.91
20081023,1.911
20081024,1.912
20081025,1.911
20081026,1.895
20081027,1.881
20081028,1.866
20081029,1.863
20081030,1.865
20081031,1.867
20081101,1.86
20081102,1.836
20081103,1.82
